userName,at,content,score
Pengguna Google,2025-04-27 13:51:45,"setelah banyak keluhan 99 % persen dari netizen yg sudah update, kenapa untuk save atau menyimpan video itu dihilangkan, gak bisa di download, masa kami harus record tambah instal aplikasi baru lagi, tolong yg bagus gak usah dihilangkan , seharusnya ditemukan beberapa yg baru setelah di update,ini malah berkurang kualitas nya.",1
Pengguna Google,2025-04-20 18:56:10,"tiktok jelek banget sekarang ya? tiap malem kalo buka tiktok selalu stuck logo, trus bikin hp langsung macet gabisa di gerakin. jadinya harus hapus aplikasi tiktok dulu, trus download lagi. tolong dong pihak tiktok perbaiki bug itu secepatnya, karena sangat menggangu kenyamanan pengguna terutama SAYA. saya akan berikan bintang 5 apabila bug itu sudah tidak ada lagi sepenuhnya",1
Pengguna Google,2025-05-02 13:28:26,"padahal suka bngt sama apk tiktok, tpi setelah update sering nge bug, contoh saat mulai ngebuka tiktok harus nunggu beberapa menit, bahkan pernah sejam, dan saat asik asiknya nonton tiktok malah keluar sendiri, dan nge freeze, tak kasih bintang lima biar di baca, kadang ya juga harus donload hapus sampai berulangkali dan mohon di perbaiki, itu sangat menggangu",5
Pengguna Google,2025-04-28 05:31:44,"buat developer tiktok ini kenapa ya aplikasi tiktok nya mengalami banyak sekali bug tidak hanya satu bug nya, contoh kalau buka aplikasi nya kadang butuh waktu 15menit itu baru nge bukak doang, selanjut nya ketika sedang asik asik nya tau tau aplikasi nya ngefreez sendiri bahkan otomatis keluar dari aplikasi nya, sedangkan jaringan baik baik aja ga ada masalah sama sekali, mohon di perbaiki lagi yaa tiktok",2
Pengguna Google,2025-04-23 07:17:44,"filter di tiktok tidak bisa di pakai,setiap mau pake mesti langsung gelap semua,kenapa ya?terus terusan begitu terus udh ada hampir ini mau sebulanan seperti itu terus kenapa ya min?padahal lagi banyak trend Velocity yang mau aku coba di tiktok tapi kamera+efeknya+filternya ga bisa di pakai min.Toling cepet di perbarui min,ini sangat tidak nyaman.",1
Pengguna Google,2025-04-27 11:43:23,"bug nya mengganggu bgt tolong,setiap mau foto layar selalu hitam,klo udh di uninstall,trs di install lg baru bisa,,tp klo uda kluar di apk nya,trs masuk lagi buat foto,item lagi,selalu aja kaya gitu, terkadang juga setiap abis di uninstall trs di install lg ga bisa ke instal,, tolong di benerin ya developer🌷🎀",1
Pengguna Google,2025-04-28 04:12:32,"update lagi dong, sering banget bug komentar gak muncul alesannya tidak ada koneksi padahal wifi ada internet ada, buka apk yg lain bisa tapi ini sering banget komentar gak muncul, udh dihapus data muncul sebentar trs ngilang lagi, bintang lima supaya dibaca aslinya satu.",5
Pengguna Google,2025-04-23 12:11:49,"menurut ku tiktok itu sih bagus, tapi kok akhir akhir ini, tiktok bermasalah ya? setiap mau ke tiktok, pasti stuck di logo nya terus. habis itu keluar sendiri. ini kira kira kenapa ya? trus ada notif kalo tiktok nya lgi bermasalah/bug gtu, aku nya kan kesel jadi agak gimana gtu, mana aku ada streak api lagi, gimana coba? tolong ya admin tiktok, perbaiki lagi bug nya>:)",3
Pengguna Google,2025-04-22 18:36:20,saya kasih bintang 3 PDA aplikasi ini karena kebanyakan saat mau masuk ke dalam aplikasi ini sering eror dan harus uninstall dahulu baru klo udah di install baru bisa masuk dan saat masuk ke aplikasi saat nonton videonya sering ngelag)/ macet macet tolong kepada pembuat aplikasi tik tok segera perbaiki bug bug nya kok sekarang aplikasi tik tok makin aneh sering eror Mulu wahai kepada orang pembuatan aplikasi tik tok tolong segera di perbaiki baru udah mau hilang bug nya malahan muncul lagi,2
Pengguna Google,2025-04-23 04:34:21,"Udah lama banget menu shopku menghilang dan terganti jadi teman, jd susah banget buat belanja, padahal salah satu alasan download TT ini tuh buat shopping, kirain update bakal ada lagi, tp sampai sekarang belum muncul², bolak balik instal uninstall sm aja, buang² kuota dan waktu. cek sm temen² tuh aman² aja, d aku doank yg gitu. note : hp masih masih 3 tahunan, android 13, spek tergolong tinggi kok, jd nggak mungkin gara² perangkat. appsnya update mengikuti play store.",2
Pengguna Google,2025-05-02 06:22:09,"tolonglah pihak tiktok di benerin bug nya, ga kasian apa buat yg hp kentang? ini bug suka ngefrezz tiba² dan mati sendiri hpnya, emang si ga semuanya tapi ada beberapa yang gitu, dan saya paling benci sama notif verifikasi soal puzle itu, di suruh ngepasin udah pas katanya gagal, itu gimana si? tolong dong 2 bug itu benerin dulu sebelum update yang lain",1
Pengguna Google,2025-04-24 04:34:16,"tiktok semakin di update semakin banyak bug,contohnya saya mengalami ngefreeze saat memosting video/foto di tiktok padahal jaringan bagus,terus suka keluar sendiri/force close,,pas lagi scrol loadingnya lama dan patah patah ,tolong diperbaiki lagi secepatnya, karena sangat menggangu para penggunanya.",1
Pengguna Google,2025-04-06 11:09:25,"bisa ga sih perbaiki bug yang ada di tiktok ini, kdg gmw masuk ke apk nya lah, kdg loading nya lama bgt pdhl jaringan sy bagus, tolong lah tiktok, saya lagi pengen nonton malah ke ganggu gara² harus hapus apk lu dlu, jadi sekali lagi TOLONG PERBAIKI BUG YANG ADA DI TIKTOK INIII !!!",2
Pengguna Google,2025-04-21 05:46:26,"kok bug nya makin parah ya?? kalo mau masuk terkadang keluar sendiri, ini padahal udah update lohh terkadang saya uninstall terus download lagi sampe saya sudah malas untuk memainkan tiktok lagi, kalo semisal saya gak main tiktok sehari saja pasti gak akan bisa masuk ketiktok lagi pasti akan keluar sendiri, mohon semua bug diperbaiki sampe semua komentar positif",1
Pengguna Google,2025-04-07 09:21:57,"aplikasi nya sudah baguss bgt, lebih dari bagus malahan tpii ada satu masalah saat saya ingin membuka aplikasi ini, kdang suka tulisan 'tidak ada internet"" pdahal waktu saya cek wifi tidak ada masalah, klo diperbaiki saya akan kasih bintang lima😉",4
Pengguna Google,2025-04-29 15:48:14,"algoritma tiktok sangat tidak jelas, selalu menampilkan tontonan yang sangat kurang berkualitas, saya sudah merefresh tontonan namun tetap tidak bisa memberikan danpak signifikan, dan untuk mode terbatas sangat amat buruk juga pengaturan audiens penonton dibawah 18 tahun (sama juga tidak bisa mensensor konten tidak baik secara signifikan).",1
Pengguna Google,2025-05-01 14:35:28,"suka kesel sekarang klo buka aplikasi tiktok lama sekali lho ,komen juga pernah kena filter padahal kata² sya gak menyinggung lho , saat belanja juga ko harganya jadi jauh lebih mahal daripada aslinya walau sudah kena promo , bingung sekali sma tiktok , kecewa sya.",1
Pengguna Google,2025-04-26 13:11:02,"tiktok kalau ada update pasti bikin hp jadi ngelag, terus harus di hapus dulu tiktok nya baru download lagi, sungguh sangat merepotkan, terus suka tiba tiba close sendiri, terus respon aplikasinya juga slow udah di pause atau di scroll dari tadi tapi baru ke pause atau ke scroll nya 3 atau 5 detik kemudian, merepotkan kalau harus hapus terus download lagi",1
Pengguna Google,2025-04-20 06:25:17,assalamualaikum.aplikasinya udah bagus tapi kenapa ya aplikasinya setiap kali di buka pasti kembali ke layar awal kadang loding nya itu lama .padahal penyimpanannya juga masih banyak terus kadang vidionya sering patah patah .mohon di perbaiki ya,3
Pengguna Google,2025-04-21 03:59:20,"aku mau protes, kamera tiktok ku kok gelap ya tiap pake filter? kek ngebug, layar kamera gelap gada gambar, dan udh bbrapa bulan masih aja begini. tolong min di perbaikin bug nya, aku mau foto dari dulu gabisa"" karna kamera nya gitu, skarang kasih bintang 4 dulu ya sbnenarnya udah bagus cuma pas di kamera nya aja yg bermasalah",4
Pengguna Google,2025-04-22 03:59:55,"aplikasi nya udah 99% bagus tapi pas udah di update itu malah ngelag dan gak muncul apa perbaruan di tik tok kenapa ya, dan kalau lagi di pencarian itu video nya kadang hitam gitu kadang gak tolong lebih di perbaiki yaa udah bagus kok aplikasi nya",4
Pengguna Google,2025-04-30 06:44:51,"kenapa efeknya gabisa dipakai? setiap mau foto pasti ngebug, efeknya ga keluar. gambarnya jadi ga jelas, mohon perbaiki... soalnya suka banget foto di apk ini, tapi semenjak ngebug jadi ga bisa foto lagi.",4
Pengguna Google,2025-04-25 01:27:27,"Nih apk tiktok kenapa sih, kok skrg banyak bgt bug misal saya mau masuk kok gabisa cuma gambar logonya aja padahal jaringan saya bagus hp saya juga mendukung. Masa harus di uninstall terus download lagi baru bisa masuk. perbaiki lah heyy",1
Pengguna Google,2025-04-12 19:30:00,"paketan banyak dan wifi ada tapi selalu lemot bikin ngefreeze uda uninstall terus instal sama aja tetep gitu ga lancar. cape uninstall terus instal lagi begitu aja terus sampe warung madura tutup kesel bgt gua paketan bnyak sinyal kencang dam wifi pun kencang tapi videonya se olah olah gada jaringan ngelag banget, tolong lah diperbaiki bukan sekali dua kali tiga kali begini mulu, update tuh supaya lancar dan ada yang baru menarik ini malah ada bug nya banyak huft!!!.",1
Pengguna Google,2025-04-20 01:47:02,suka gak bisa di buka stak di logo tiktonya jadi harus download ulang dan hp ku jadi lag. kadang juga suka lag video nya padahal jaringan bagus udah pakek paketan dan ganti wifi tetep sama aja video-nya lag *TOLONG DI PERBAIKI*,1
Pengguna Google,2025-05-01 11:12:18,"ada banyak bug dimana ada hal hal yang gabisa keakses, contohnya ada hp dikeluarga ku yang gabisa serch filter apapun. yang kedua ada hp yang gabisa ngedit video yang udah di buat. aneh banget, tolong perbaiki.",2
Pengguna Google,2025-04-16 02:41:41,"Tolong, Tiktok buat fasilitas baru untuk Live sendiri, video konten sendiri. Repot sekali jika dijadikan satu. Kadang saya scroll-scroll konten biasa tiba-tiba masuk jadi penonton live orang. Sudah smooth sekali saya scroll tiba-tiba masuk live orang yang saya sedang tidak minat menonton live apapun. dan ada bug menghapus komentar tidak bisa, ada keterangan tidak ada koneksi internet padahal jaringan stabil. semoga diperbaiki Terimakasih",1
Pengguna Google,2025-04-25 09:29:13,"saya sangat kecewa dengan tiktok. Banyak sekali bug yang sangat menggangu saya contohnya adalah saat saya membuka tiktok itu loading nya lama banget, terus terkadang saat membuka tiktok itu aplikasi tidak mau terbuka, setelah saya memakai tiktok HP saya jadi lemot banget dan terpaksa harus matiin ulang hpnya dan hapus tiktok biar gak lemot lagi. tolong developer perbaiki bugnya",5
Pengguna Google,2025-04-22 11:31:53,"tiktok kenapa ya akhir"" ini susah sekali dibuka🙏🏻 padahal penyimpanan masih cukup, sinyal juga bagus tapi ga bisa kebuka aplikasinya. sampe saya install ulang kadang juga ga bisa. saya malas kalo pake yang tiktok lite. tolong ya tiktok",3
Pengguna Google,2025-04-18 07:30:09,"bener²super duper lemot parah aplikasi,pas mau mencet logo nya ga bisa masuk,masuk nya always lama aku kira hp ku yg lemot/memori nya kepenuhan tapi pas aku buka aplikasi lain lancar jaya jadi kalo mau nonton tiktok harus download ulang lagi capek sebenarnya kayak gitu terus",1
Pengguna Google,2025-04-29 13:59:38,"inpo fungsi fitur promosi?? gw nyoba beli dan pakai itu fitur ko kaya gaada perubahan yang signifikan ya dari akunku, iyasi di iklan bilangnya meningkatkan banyak followers tpi manaa ga sesuai dengan apa yg diperkirakan malahan jauh dari ekspetasi.",4
Pengguna Google,2025-05-02 08:28:53,"bagus sii suka,tpi suka ngebug apl nya,buka nya juga harus nunggu lama bgt, kadang gabisa dibuka , ngaruh bgt ke hp,hp sampai ngebug gabisa di buka beberapa jam kl abiss buka tiktok,itu juga gabisa ke buka, Tolong di perbaiki itu sangat menganggu kami sebagai anak muda duta tiktok 😭",3
Pengguna Google,2025-04-21 10:16:51,tiktok kok sekarang ngebug banget dah.. selesai dipencarian keluar sendiri... padahal udah di-update... itu buat nggak nyaman banget sih.. masalahnya bukan sekali dua kali tapi berkali kali.. tolong dong diperbaiki,1
Pengguna Google,2025-04-29 23:55:15,"aku kalo lagi bosen sm baranda tiktok suka beralih ke video tiktok yg ku like, iseng² pengen lihat, video yang pertama ku like (2020) eh nggak bisa, malah berhenti di tahun 2022, seolah² itu video pertama yg ku like, tiktok update dong, ini kenapa kok nggak bisa scroll sampe bawah lagi, padahal sudah ku instal ulang🥲",1
Pengguna Google,2025-04-27 18:19:23,"walaupun selalu update, penyakit Tiktok selalu ada dan sama seperti dahulu, yaitu jika di klik (mengaktifkan/menggunakan) aplikasi ini, loading-nya lama. Untuk meng-klik profil diri sendiri juga tetap ada bug 👎🏻 TikTok memang ""payah"" !",1
Pengguna Google,2025-04-10 19:39:49,"maaf ya tak kasih bintang 1 , karena saat buka aplikasi tiktok sering loading , ngelag dan keluar sendiri dari aplikasi tiktok. saat mau buka tiktok lagi lama . hp terasa lemot dan sekarang kalau lagi scroll tiktok 1 sampai 3 udah keluar dari aplikasi tiktok",1
Pengguna Google,2025-05-02 05:06:32,"apa ini sebelum saya update tiktok saya baik baik saja tapi seteyaaya update eh malah ngebug tiap mau buka tiktok GK bisa masuk malah muncul logo tiktok terus jadi harus uninstall trs download lagi setiap hari begitu, tolong dong tiktok di perbaiki lagi, sangat kecewa sih kali ini.",1
Pengguna Google,2025-05-02 11:38:43,"padahal suka bgt sama apk tiktok ini... tapi beberapa minggu ini saat buka apk muncul nya lama bgt, di scroll pun juga kadang ngadat, terus sering keluar sendiri🙁 aku kasih bintang 5 yaaa .. tp tolong di perbaiki lagi",5
Pengguna Google,2025-04-20 11:16:25,kadang gabisa dibuka udah dipencet beberapa kali tetep aja gabisa padahal gk ngelag jaringan bagus ruang penyimpanan masih banyak pula tetep aja udah dipencet beberapa kali masih gabisa dibuka harus ditunggu beberapa detik atau menit baru bisa kadang juga force close atau ngelag ngelag juga makin lama ada tiktok makin aneh aja,1
Pengguna Google,2025-04-15 06:28:38,"tiktok ini ada masalah apa sih kok stak dilogo gak bisa masuk terus... ini kedua kali nya , ditungguin berhari hari pun tetep gak bisa.. solusinya cuma uninstall dan download ulang.. kupikir sinyal atau memori nya... ternyata enggak, apk lain normal aja... kenapa sih tiktok...",5
Pengguna Google,2025-04-20 01:36:51,"Saya sangat suka menggunakan aplikasi ini. Aplikasi yang cocok untuk mendapat hiburan di waktu senggang. Sayangnya, peraturan ketat yang ada di TikTok sangat mengganggu. Seperti hanya menasehati seseorang dengan kata kata yang tidak begitu kasar sudah di filter. Dan menyebutkan angka dalam pesan yang tidak selalu tentang umur, dibatasi usia dan tidak bisa mengirim pesan lagi. Mengganggu. Lebih nyaman kalau dibebaskan, kecuali memang yang sudah dilaporkan dan keterlaluan. Batasan itu baik. Tapi t",3
Pengguna Google,2025-04-29 23:59:38,"masa udah di update ke versi terbaru tiktok nya gabisa di buka cuman muncul logo nya doang, pdhl jaringan wifi d rmh itu bagus bgt, tolong min secepatnya di benerin lg soalnya kaum pecinta scrol tiktok pd kesel tiktok nya gbs di buka samsek udh d coba cara lain ttep gabisa. 🙏🏻",1
Pengguna Google,2025-04-16 12:33:20,"aplikasi social media yg luarbiasa hanya saja memiliki kekurangan yg fatal yaitu terkadang like pada video bisa tidak muncul, bukan hanya like tetapi komentar juga bisa hilang dan tidak tampil dihalaman saat memutar video, menjadi kendala yang tidak menyenangkan saat kita sudah susah payah untuk membuat dan mempersiapkan video tersebut",5
Pengguna Google,2025-04-15 11:32:26,"apk ini ga support bgt sm hp infinix,hampir tiap hari saya download hapus krn bug stuck di logo smpe hp mati,meresahkan loh itu bugnya,ga satu smpai dua kali,bahkan 1 hari pun bisa download ulang 3 kali,benerin dong. tanggapi ulasan orang2 yg mengalami bug sm seperti saya.",1
Pengguna Google,2025-04-07 15:13:37,"aplikasi keluar mendadak.aplikasi macet.aplikasi tidak mendukung ada apa dengan tiktok dulu ga kayak gini paling sering kular sendiri,macet,ngebug apa lah padahal sudah di update lagi asik ²nya scroll malah kular sendiri",1
Pengguna Google,2025-05-02 08:54:28,"gak konsisten. Selalu aja ada fitur yang dimunculin terus diilangin lagi. Sebelumnya bisa comment pakai foto, sekarang fitur itu udah di hilangkan lagi. Foto live sebelumnya ada fiturnya, sekarang malah dihilangkan lagi. tiktok tolol.",1
Pengguna Google,2025-04-28 12:13:09,"aplikasinya setelah di-update makin banyak bug nya suka Kelur keluar sendiri juga boros data tolong diperbaiki lagi aplikasinya dan membuat data saya sangat boros saya sangat kecewa berat sma aplikasinya tolong diperbaiki agar lebih bagus agar tidak ada bug"" nya lgi tolong donggg🙏🏻",1
Pengguna Google,2025-04-08 14:20:58,kenapa sekarang jadi suka ngeleg si setelah update hp aku sering mulai ulang sendiri mati berkali-kali kalo ngebuka tiktok padahal awal awal ga pernah loh kaya gini udah muak banget lagi kadang harus di bersihkan cache nya dulu lagi biar bisa buka schroll keccewa si sama tiktok sekarang. kalo hpku uda kemulai ulang berkali-kali bisa mbuka lagi ya ngedowlodn ulang apk tiktoknya baru ga ngeleg lagi tapi ya masa aku harus terus terusan kaya gitu ga mungkin kan🤷🏻‍♀️pasti ga cuma aku yang ngerasa.,1
Pengguna Google,2025-04-30 03:19:02,tolong dong dibenirin lagi soalnya setiap mau nonton tiktok sudah dipencet tapi malah gak bisa atau lama sekali munculnya dan juga terkadang Vidio nya patah patah padahal jaringan WiFi/kuota bagus tolong dibenirin lagi untuk bug bug ya🙏,3
Pengguna Google,2025-04-12 05:13:25,"apk ini kayaknya gak support hp Infinix deh, gw dan banyak temen gw yang pakek hp infinix punya masalah yang sama terkait tiktok yang sering (force close, macet, patah-patah, ada juga yang langsung mulai ulang). ya semoga cepat dibenahi ya min masalahnya🙏",1
Pengguna Google,2025-04-13 14:43:06,"tiktok sangat bagus sekali,tapi baru kemarin saya buat tiktok pas mau buat tiktok filter kamboja,burung blu dll tidak bisa muncul di muka/di atas saya sudah update tetap saja masi seperti itu,jadi kalau buat tiktok pake filter cahaya doang tidak ada yang sperti filter dog dll karna tidak muncul di atas kepala atau di muka.tolong perbaiki lagi🙏🙏",5
Pengguna Google,2025-04-22 23:54:31,"ini sebenar nya sudah bagus,tapi kok tiba² filter nya pada hilang?,yang ada cuman filter ai, aku udah membersihkan ceach dan muat ulang perangkat aku tetep g abisa,aku sempat unistal apk nya terus instal lagi, akhirnya bisa, tapi berlangsung lama semalam doang habis itu hilang lagi, aku kira cuman aku doang yang gini, ternyata banyak orang yang ngalamin, tolong bijaksananya untuk memperbaiki masalah ini,ga bisa di sepelehkan,bisa jadi ada bnyk lgi yang protes karna masalah ini tolong di perbaiki",2
Pengguna Google,2025-04-19 01:38:45,"yang awalnya Uda bisa live Uda bisa belanja tpi semenjak pengikut nya menaik jdi 600 jadi pada hilang semua dan sering nge bug sndiri, kembali sndiri, tolong di perbaiki lagi, karna tiktok tu butuh banget, apalgi bagi yng konten kreator, sekali lagi mohon untuk di perbaiki lagi apk nya trimksi",1
Pengguna Google,2025-04-16 12:10:34,"ngeleg, susah banget diatur,ada tulisan login terus pas login malah jadi tambah ngelag, semua video tiktok hitam ga ada gambar sama sekali, nama udah 1 Minggu tapi gak bisa diganti tolong ya atasan diperbaiki lagi agar lebih baik dari sebelumnya 🙏🙏🙏",1
Pengguna Google,2025-04-25 09:26:48,"perasaan update mulu dah, dan juga setiap buat video pasti gerakannya kek ngeblur gk sinkron, apa lg kalok buat trend gerakannya pasti keduluan musik baru gerakannya. apa karna penyimpanan atau tipe hp, gk tau lah ya. pokoknya sllu sebel kalok buat trend gk ada yg bagus, selain dari yg di atas bagus² ko",3
Pengguna Google,2025-04-14 15:01:35,"Mengecewakan, Aplikasi susah untuk dibuka, membuat saya harus sering menghapus dan menginstal ulang aplikasi.Sangat mengganggu kenyamanan pengguna.Saya berharap aplikasi akan diperbaiki agar menjadi nyaman seperti sebelumnya.Terima kasih.",4
Pengguna Google,2025-04-12 07:37:54,"aplikasinya uda bgs tp update an skrng bikin nge bug, masa tiap buka tiktok hp nya jadi crash mati dan mulai ulang sendiri, solusinya yaitu satu di hapus dan didownload lagi. masa saya harus setiap hari bolak balik playstore buat download tiktok dan malemnya hapus lagi krn bug yg bisa bikin hp saya nge crash itu. tolong perbaiki bug ini yg bikin resah & menganggu bgt, pdhl dulunya tiktok juga biasa' dan seru seru aja. tolong perbaiki jika diberi masukan kaya gini, kenyamanan cust yaitu yg utama",3
Pengguna Google,2025-04-19 12:55:58,"aplikasi yang sangat bagus, namun, selalu ada bug yaitu, tombol di atas tidak bisa di tekan, seperti tombol pengaturan, saya sudah membanting handphone saya beberapa kali, namun tak ada perubahan. mohon sekali pihak TikTok, tolong perbaiki bug yang ada, terimakasih.",4
Pengguna Google,2025-04-23 16:29:24,"aku kasih bintang 3 soalnya sekarang kadang susah kalo mau bukak apk ini kadang juga ngelek"" gak jelas tolong perbaiki padahal sinyal lancar+ruang penyimpanan juga banyak trus stag di logo trus tolong hilangkan bug itu.",3
Pengguna Google,2025-05-01 03:04:52,"Baguss, tp kenapa update kemaren jd ada bugg?? gatau ini bug atau bukan tp jujur bikin ga nyaman, misal vidio yg lagi ditonton ke scroll ke bawah, trus mau scroll lg ke atas vidio jd hitam semua, sebenernya ini udah aku rasain sebelum update, vidio hitam/ ga jalan Masi 1-2× aja, setelah update knpa makin parahh??, tolong kalo ini bug segera di perbaiki ya, jjur ga nyaman",3
Pengguna Google,2025-04-26 10:43:27,"apk nya bagus, cuman tiktok gamau ngadain fitur buat hapus sekaligus kah? cape saya ngahpus repost + favorit satu-satu, tolong ditambah fitur yg membantu seperti ini, dan astaga bug nya setelah di update gabisa masuk di aplikasi wkk gimana ini kacau sekarang",3
Pengguna Google,2025-05-01 04:49:04,Bagus!!! tapi kalau bisa diaplikasi tik tok ini ditampilkan juga waktu disetiap postingan baru contoh misalanya 1 jam yang lalu atau 9.30 sudah memposting vidio baru supaya kita tahu,5
Pengguna Google,2025-04-26 02:25:36,ga jelas tik tok saya memakai tik tok tapi saat pencet apk nya malah nge bug lamaa bgt dan ga kebuka saya juga udh download lebih dari 5 kali sampe pake tik tok lite tapi tetap ga bisa ga jelas semoga suara saya terdengar dan sebelum nya saya itu udah update,1
Pengguna Google,2025-04-09 15:25:25,Tolong kepada pihak tiktok mengapa masih ada satu bug yang saya alami yaitu ketika saya sedang melakukan pencarian video ketika saya memutar video di pencarian tersebut suaranya tidak bisa berhenti terputar padahal saya sudah tidak menonton video tersebut tolong atasi bug ini.,5
Pengguna Google,2025-04-18 00:42:53,kenapa aplikasinya muter muter Mulu sih tadi malem juga gitu sekarang juga gitu padahal udah pake wifi coba pake pulsa tetep aja ga bisa padahal jaringannya bagus bisa buka semua kecuali tiktok yang Terus muter muter apa cuma tiktok ku yang kaya gini capek deh muter muter Mulu kaya lag padahal ga gitu ini Tik tok gimana sih udah coba berkali-kali tetep aja muter muter terus,1
Pengguna Google,2025-05-01 19:22:12,kalau bisa jika ada pembaharuan di dalam Tik Tok Ini berikan dong di aksesibilitas khusus asisten pembaca layarnya karena di zaman sekarang ini orang tunanetra pun atau orang buta telah mengikuti Life Tik Tok jadi agar tidak menginstal aplikasi tambahan-tambahan lagi sebab kalau dikasih pembaca layar akan lebih bagus lagi jadi setiap orang berkomentar langsung dibaca oleh asisten tiktok pembaca layar tadi,5
Pengguna Google,2025-05-02 05:45:06,"sumpa ya, sebenarnya apk nya udah keren si banyak fitur baru tapiii kalau mau buka tiktok harus nunggu kadang bisa kadang lama kadang ngga bisa kebuka ngeleg nya parah euyy baru baru ini gabisa main tt blg nya gaada koneksi padahal pake wifi dan wifi ku baik baik aja.",2
Pengguna Google,2025-04-08 15:45:58,"rekomendasi pencarian tiktok sekarang sudah mengarah yang tidak etis dan lebih ke cabul, yang anehnya dia merekomendasi bukan yang sering saya cari, malah mengarahkan yang tidak pantas untuk dilahat. Untuk kedepannya mohon rekomendasi pencarian tik tok yang masuk akal dan sewajarnya saja",1
Pengguna Google,2025-04-26 01:18:43,"aku masih bintang tiga... kenapa tik tok akhir"" ini suka ga bisa di buka, tiba'' eror, padahal sinyal lancar wifi lancar memo juga belum penuh, tolong di perbaiki lagi ya, biar pengguna tik tok semakin nyaman...",3
Pengguna Google,2025-04-21 12:08:57,aku sangat kecewa karna setiap aku buka tiktok cuman ada logo tiktoknya doang terus membuat HP saya lag tolong diperbaiki ini sangat mengganggu aku dan streak yang jumlahnya sudah banyak dengan temanku mati karna harus uninstall tiktok dan mendownloadnya lagi tolong diperbaiki secepatnya!,1
Pengguna Google,2025-04-18 00:26:21,"sangat kecewa banget,,,makin kesini berubah semuanya,yang paling penting pada filter tiktok,sudah enak dari dulu filter S1 S2 S3 S4 S5 S6 S7 kenapa sekarang harus berubah jadi filter yang gak jelas seperti itu,tolong dong kepada admin tiktok untuk di kembalikan lagi,biar kita tetap betah sebagai pengguna tiktok",2
